tweet_id,timestamp,rating_numerator,rating_denominator,name,main_source,dog_stage,retweet_count,favorite_count,img_num,dog_breed_prediction,prediction_confidence
892177421306343426,2017-08-01 00:17:27,13,10,Tilly,iphone,,5302,29343,1,chihuahua,0.323581
891815181378084864,2017-07-31 00:18:03,12,10,Archie,iphone,,3482,22069,1,chihuahua,0.716012
891327558926688256,2017-07-29 16:00:24,12,10,Franklin,iphone,,7765,35323,2,basset,0.555712
891087950875897856,2017-07-29 00:08:17,13,10,No name,iphone,,2602,17815,1,chesapeake_bay_retriever,0.425595
890971913173991426,2017-07-28 16:27:12,13,10,Jax,iphone,,1666,10370,1,appenzeller,0.341703
890729181411237888,2017-07-28 00:22:40,13,10,No name,iphone,,15762,56892,2,pomeranian,0.566142
890609185150312448,2017-07-27 16:25:51,13,10,Zoey,iphone,,3624,24531,1,irish_terrier,0.4875739999999999
890240255349198849,2017-07-26 15:59:51,14,10,Cassie,iphone,doggo,6101,27971,1,pembroke,0.511319
890006608113172480,2017-07-26 00:31:25,13,10,Koda,iphone,,6153,27051,1,samoyed,0.957979
889880896479866881,2017-07-25 16:11:53,13,10,Bruno,iphone,,4168,24575,1,french_bulldog,0.377417
889665388333682689,2017-07-25 01:55:32,13,10,No name,iphone,puppo,8353,42076,1,pembroke,0.966327
889638837579907072,2017-07-25 00:10:02,12,10,Ted,iphone,,3718,23690,1,french_bulldog,0.99165
889531135344209921,2017-07-24 17:02:04,13,10,Stuart,iphone,puppo,1884,13358,1,golden_retriever,0.953442
889278841981685760,2017-07-24 00:19:32,13,10,Oliver,iphone,,4447,22131,1,whippet,0.626152
888917238123831296,2017-07-23 00:22:39,12,10,Jim,iphone,,3765,25652,1,golden_retriever,0.714719
888804989199671297,2017-07-22 16:56:37,13,10,Zeke,iphone,,3538,22482,1,golden_retriever,0.46976
888554962724278272,2017-07-22 00:23:06,13,10,Ralphus,iphone,,2879,17323,3,siberian_husky,0.700377
888078434458587136,2017-07-20 16:49:33,12,10,Gerald,iphone,,2895,19158,1,french_bulldog,0.995026
887705289381826560,2017-07-19 16:06:48,13,10,Jeffrey,iphone,,4536,26635,1,basset,0.821664
887473957103951883,2017-07-19 00:47:34,13,10,Canela,iphone,,15032,60218,2,pembroke,0.809197
887343217045368832,2017-07-18 16:08:03,13,10,No name,iphone,,8816,29604,1,mexican_hairless,0.330741
887101392804085760,2017-07-18 00:07:08,12,10,No name,iphone,,4993,26994,1,samoyed,0.733942
886983233522544640,2017-07-17 16:17:36,13,10,Maya,iphone,,6321,30401,2,chihuahua,0.793469
886736880519319552,2017-07-16 23:58:41,13,10,Mingus,iphone,,2632,10501,1,kuvasz,0.309706
886366144734445568,2017-07-15 23:25:31,12,10,Roscoe,iphone,pupper,2631,18555,1,french_bulldog,0.999201
886258384151887873,2017-07-15 16:17:19,13,10,Waffles,iphone,,5292,24538,1,pug,0.943575
885984800019947520,2017-07-14 22:10:11,12,10,Jimbo,iphone,,5616,28623,1,blenheim_spaniel,0.972494
885528943205470208,2017-07-13 15:58:47,13,10,Maisey,iphone,,5331,31613,1,pug,0.369275
885167619883638784,2017-07-12 16:03:00,13,10,No name,iphone,,3670,19269,4,malamute,0.8124819999999999
884925521741709313,2017-07-12 00:01:00,12,10,Earl,iphone,,15032,67317,1,italian_greyhound,0.259916
884876753390489601,2017-07-11 20:47:12,13,10,Lola,iphone,,4675,24394,1,chow,0.822103
884562892145688576,2017-07-11 00:00:02,13,10,Kevin,iphone,,3913,21334,1,pug,0.5464060000000001
884441805382717440,2017-07-10 15:58:53,14,10,No name,iphone,,4793,23873,1,pembroke,0.993225
884162670584377345,2017-07-09 21:29:42,12,10,Yogi,iphone,doggo,2506,17949,1,german_shepherd,0.707046
883838122936631299,2017-07-09 00:00:04,12,10,Noah,iphone,,2865,19181,1,doberman,0.610946
883482846933004288,2017-07-08 00:28:19,5,10,Bella,iphone,,8275,40221,1,golden_retriever,0.943082
883360690899218434,2017-07-07 16:22:55,13,10,Grizzwald,iphone,floofer,3084,19960,1,chow,0.987997
883117836046086144,2017-07-07 00:17:54,13,10,No name,iphone,,5538,32527,2,golden_retriever,0.949562
882992080364220416,2017-07-06 15:58:11,13,10,Rusty,iphone,,3248,20993,1,eskimo_dog,0.4667779999999999
